Country,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,,,,,0,0,0,0,0,0,0.01,,0.01,0,0,0.02,0.03
Albania,ALB,,,,,,0.01,,0.32,2.03,2.92,3.35,4.07,5.06,5.75,6.53,7.6,8.23
Algeria,DZA,,,,0.05,0.11,0.4,0.49,0.82,1.36,2.25,2.43,2.6,3,3.26,4.01,5.58,6.92
American Samoa,ASM,,,,,,,,,,,,,,,,,
Andorra,AND,,,1.6,4.76,7.95,12.73,17.85,22.79,25.85,29.17,31.45,33.09,34.34,35.01,35.89,37.92,39.82
Angola,AGO,,,,,,,0.04,0.07,0.09,0.08,0.08,0.08,0.1,0.1,0.31,0.67,0.52
Anguilla,AIA,,10.81,11.9,13.71,11.8,17.55,22,25.1,27.33,27.65,27.52,28.28,29.01,30.07,30.43,34.21,
Antigua & Barbuda,ATG,,,,,2.03,7.03,1.85,2.68,5.84,18.56,8.16,6.81,14.67,17.39,11.83,10.89,9.99
Argentina,ARG,,0.25,0.39,0.68,1.42,2.4,4.06,6.61,7.85,8.77,9.98,11.23,12.53,15.08,15.57,16.26,16.94
Armenia,ARM,,0,0,0,0.03,0.07,,0.13,0.46,1.34,3.16,5.42,7.14,8.17,9.14,9.58,10.13
Aruba,ABW,,,,1.44,7.05,12.27,13.84,15.8,18.15,18.54,18.91,,,18.66,18.56,18.29,
Ascension,,,,,,4.38,,,,,,,,,,,,
Australia,AUS,,0.63,1.31,2.59,5.01,9.82,18.69,,24.56,23.69,24.59,24.41,24.88,25.62,27.66,28.54,30.44
Austria,AUT,2.38,3.98,5.57,7.38,10.62,14.25,17.3,19.52,20.73,22.44,24.4,24.88,25.17,26.28,27.67,28.69,29.38
Azerbaijan,AZE,,,0.01,,,0.03,0.05,0.17,0.68,1.11,5.23,10.58,14.71,18.19,19.95,19.76,18.58
Bahamas,BHS,,1.37,2.44,3.47,3.97,4.07,4.94,5.99,7.32,8.91,6.85,4.23,20.95,19.21,20.17,20.91,21.99
Bahrain,BHR,,0.17,0.68,1.26,1.82,2.44,4.06,6.61,8.39,11.71,12.38,22.55,22.41,22.52,21.39,18.61,16.82
Bangladesh,BGD,,,,,,,,0.03,0.03,0.21,0.27,0.31,0.39,0.97,1.95,3.05,3.77
Barbados,BRB,,,,10.09,10.89,11.68,14.11,17.06,17.73,20.54,20.04,22.23,23.62,23.82,27.17,27.23,30.08
Belarus,BLR,,,0,0,0.01,0.02,0.12,1.77,5,11.47,17.56,22.2,26.92,29.77,28.84,31.36,33.3
Belgium,BEL,1.4,4.47,7.89,11.97,15.52,19.13,23.15,25.56,27.69,29.03,30.83,32.2,33.38,34.48,35.99,36.85,38.01
Belize,BLZ,,,,0.36,1.07,1.85,2.6,2.61,2.74,2.77,2.89,3.07,3.08,2.98,2.91,5,6.19
Benin,BEN,,,0,0,0,0,0.02,0.01,0.09,0.21,0.28,0.38,0.42,0.41,0.43,0.67,0.81
Bermuda,BMU,,,,,,28.82,36.75,,52.51,61.72,61.74,,,61.37,53.06,45.75,
Bhutan,BTN,,,,,,,,,0.3,0.48,1.21,1.81,2.26,2.72,3.26,3.59,3.94
Bolivia,BOL,,,0.04,0.06,0.09,0.14,0.18,0.35,0.81,0.96,0.94,0.71,1.11,1.44,1.59,1.64,2.57
Bosnia and Herzegovina,BIH,0,0,0.01,0.04,0.17,0.35,1.03,2.19,4.88,7.58,10.16,11.21,12.24,13.48,14.18,16.62,17.37
Botswana,BWA,,,,,,0.09,0.09,0.18,0.46,0.51,0.61,0.96,1.11,1.07,1.63,1.79,2.85
Brazil,BRA,0.06,0.19,0.41,0.53,1.72,1.74,2.53,4.01,5.22,6.06,7.22,9.06,9.62,10.66,11.68,12.25,12.97
British Virgin Islands,VGB,,,,,,,,,,28.97,25.27,26.33,26.47,21.81,22.38,23.13,
Brunei Darussalam,BRN,,0.56,0.8,1.09,1.74,2.21,2.39,3.05,4.35,5.08,5.42,5.7,4.81,6.6,7.15,8.03,8.33
Bulgaria,BGR,,,,,0.09,2.15,5.05,8.32,11.24,13.4,15.22,17.14,18.3,19.68,20.66,22.7,23.25
Burkina Faso,BFA,,,0,0,0,0,0.01,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.03,0.04,0.05
Burundi,BDI,,,,,,,,,0,0,0,0.01,0.01,0.02,0.02,0.03,0.04
Cambodia,KHM,,,0,0,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.2,0.22,0.43,0.53,0.61
Cameroon,CMR,,,,,,0,0,0,0,0,0.03,0.05,0.06,0.08,0.07,0.07,0.19
Canada,CAN,4.6,9.15,11.24,14.29,16.97,21.72,24.67,27.51,29.49,30.49,31.7,32.72,33.56,34.38,35.38,36.32,37.27
Cape Verde,CPV,,,,,0.06,0.2,0.38,0.79,1.52,2.26,3.3,4.35,4.02,4.25,3.79,3.26,3.03
Cayman Islands,CYM,,,,,,,,,33.13,33.71,33.96,33.24,33.57,34.8,39.63,45.66,40.44
Central African Rep.,CAF,,,,,,,,,,,,0.02,0.01,,,0.02,0.02
Chad,TCD,,,,,,,,,,0,0,0.13,0.16,0.11,0.08,0.08,0.07
Chile,CHL,0.05,0.43,1.19,2.2,2.96,4.34,6.13,7.81,8.48,9.74,10.43,11.62,12.4,13.03,14.01,15.17,15.97
China,CHN,0,0.03,0.25,0.86,1.9,2.83,3.83,4.98,6.17,7.69,9.29,11.44,12.72,13.63,14.38,19.77,22.9
Colombia,COL,0.02,0.03,0.08,0.15,0.3,0.74,1.43,2.71,3.92,4.62,5.69,7.11,8.26,9.39,10.28,11.16,11.8
Comoros,COM,,,,,0,0,,0.01,0.02,0.01,0.05,0.06,0.17,0.18,0.21,0.26,0.36
Congo (Dem. Rep.),ZAR,,,,,,,,,,,0,,,0,0,0,0
Congo (Rep.),COG,,,,,,,,,,0,0.01,0.03,0.03,0.01,0.01,,
Cook Islands,COK,,,,0.17,0.21,0.28,1.85,4.34,6.1,7.27,8.26,10.77,11.4,13.09,,,
Costa Rica,CRI,,,0.22,0.36,0.66,1.04,1.9,2.13,2.43,3.97,8.49,8.86,9.34,9.95,10.45,11.17,11.59
C�te d'Ivoire,CIV,,,,0,0,0.01,0.06,0.06,0.05,0.05,,,0.23,0.28,0.61,0.52,0.63
Croatia,HRV,,,,0.08,0.6,2.65,5.75,8.86,12.11,16.49,19.31,20.65,21.34,22.26,23.04,23.18,24.62
Cuba,CUB,,,,,,,,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.13
Cyprus,CYP,,0.26,0.6,1.01,1.68,3.09,6.02,9.18,18.74,21.81,23.49,24.99,25.53,26.59,28.55,30.91,33.03
Czech Republic,CZE,0.02,0.06,0.15,0.34,2.31,6.93,10.83,14.48,16.9,19.42,21.43,23.65,24.92,26.69,27.88,27.34,27.65
D.P.R. Korea,PRK,,,,,,,,,,,,,,,,,
Denmark,DNK,1.26,4.44,8.41,13.34,18.85,24.8,31.89,34.82,36.49,36.61,38.05,38.44,38.94,40.44,41.52,42.48,42.75
Djibouti,DJI,0,0,0,,,0.01,0.02,0.14,0.3,0.64,0.97,1.33,1.73,2.03,2.27,2.69,2.96
Dominica,DMA,0.11,0.25,3.21,3.78,4.63,4.82,6.08,7.06,9.88,10.28,11.68,11.63,11.86,14.81,14.91,20.86,21.21
Dominican Rep.,DOM,,,,0.17,0.4,0.65,1.09,1.81,2.45,3.19,3.9,4.18,4.71,5.06,5.7,6.44,6.47
Ecuador,ECU,,0.02,0.05,0.05,0.09,0.19,0.33,0.7,1.07,1.63,1.48,4.32,5.45,6.73,8.26,9.74,9.74
Egypt,EGY,,,0.07,0.08,0.11,0.2,0.35,0.64,1.02,1.4,1.86,2.32,2.84,3.26,3.68,4.52,5.2
El Salvador,SLV,,,,0.33,0.48,0.7,1.01,1.47,2.01,2.42,2.82,3.29,3.84,4.49,5,5.49,6.01
Equatorial Guinea,GNQ,,,,,,0.03,0.03,0.03,0.03,0.03,0.17,0.19,0.2,0.46,0.5,0.48,0.49
Eritrea,ERI,,,,,,,,,0,0,0,0,0,0,0,0.01,0.01
Estonia,EST,,1.29,3.45,6.74,10.41,13.52,18.71,20.18,22.53,24.07,26.79,26.96,27.08,28.04,28.9,30,31.07
Ethiopia,ETH,,,,0,0,0,0,0,0,0,0,0.01,0.01,0.25,0.49,0.48,0.55
Falkland (Malvinas) Is.,FLK,,,,,,,10.76,20.75,29.68,37.92,38.91,39.94,40.48,42.58,46.3,65.4,52.56
Faroe Islands,,,0.11,0.24,0.82,6.42,11.94,26.57,29.19,30,32.02,32.63,32.4,32.97,33.76,34.98,36.1,36.24
Fiji,FJI,,,,,,0.85,1.03,1.38,1.54,1.51,2.7,2.68,1.55,1.24,1.4,1.43,1.37
Finland,FIN,0.68,2.58,5.26,9.42,15.3,22.38,27.13,30.55,30.42,29.3,29.05,29.8,30.46,31.7,32.3,31.68,31.22
France,FRA,0.33,1.01,2.76,5.9,10.76,15.41,20.55,25.32,28.5,31.57,33.74,35.78,37.51,38.79,40.17,41.34,42.35
French Guiana [included in France data],GUF,,,,,,,,,,13.39,,,,,,,
French Polynesia,PYF,,0.01,0.01,0.38,1.81,4.32,7.07,9.06,10.53,11.31,12.03,13.29,14.68,16.22,17.77,18.36,19.36
Gabon,GAB,,,,0.01,0.05,0.11,0.12,0.14,0.15,0.24,0.26,0.28,0.31,0.53,0.63,0.63,0.73
Gambia,GMB,,,,,0,0,,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.14,0.18,0.18
Georgia,GEO,,0.01,0.02,0.03,0.04,0.05,0.61,1.06,2.54,3.41,4.16,5.68,10.62,11.91,13.9,14.74,15.81
Germany,DEU,0.32,2.51,3.83,5.33,8.35,12.87,17.89,23.63,27.24,30.01,31.51,32.88,33.76,34.62,35.78,37.19,38.05
Ghana,GHA,,,,,0,0.01,0.06,0.07,0.1,0.12,0.21,0.26,0.27,0.27,0.27,0.27,0.31
Gibraltar,GIB,,,,,,,,,,31.77,35.66,38.56,40.91,,44.32,53.07,55.86
Greece,GRC,,,,0.09,0.47,1.45,4.42,9.19,13.6,17.27,20.28,22.16,24.18,26.18,28.36,30.91,32.51
Greenland,GRL,,,,0.21,5.84,12.52,16.19,18.56,21.2,22.17,21.91,21,20.04,18.95,18.19,17.46,
Grenada,GRD,,,0.55,,0.59,3.13,5.37,7.34,8.62,11.86,13.79,13.97,15.17,17,17.7,18.52,19.45
Guadeloupe [included in France data],GLP,,,,,,,,,,,,,,,,,
Guam,GUM,,1.12,,,,,,1.71,1.71,1.89,1.88,,,1.82,1.79,,
Guatemala,GTM,,,,,,0.21,0.3,0.43,0.69,1.12,1.81,,1.86,2.28,2.73,2.83,3.04
Guernsey,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,0,0.01,0.01,0.01,0.01,0.01,0.01
Guinea-Bissau,GNB,,,,,,,,,,,0.05,0.06,0.07,0.09,0.08,0.06,0.04
Guyana,GUY,,,,,,0.26,,0.31,0.66,0.87,1.42,2.6,3.77,4.61,5.63,6.65,7.64
Haiti,HTI,,,,,,,,,,,,,,,0,0.01,0.01
Honduras,HND,,,,,,,,,,,0.01,0.74,0.77,0.85,1.91,2.34,2.56
"Hong Kong, China",HKG,6.5,10.39,15.03,18.36,22.01,24.06,25.99,27.38,27.78,29.3,30.75,32.4,31.55,31.03,31.42,32.1,35.46
Hungary,HUN,0.03,0.31,1.1,2.61,4.06,6.45,11.9,14.46,17.62,19.71,21.56,23.14,24.02,26.09,25.98,27.43,28.46
Iceland,ISL,0.84,3.67,8.46,14.34,19.02,26.29,29.18,32.8,34.27,34.12,34.34,34.65,34.81,35.65,35.92,36.95,37.62
India,IND,,0,0.01,0.01,0.02,0.12,0.2,0.27,0.45,0.65,0.91,1.09,1.21,1.19,1.24,1.32,1.44
Indonesia,IDN,0,0.01,0.02,0.03,0.04,0.05,0.09,0.34,0.42,0.78,0.95,1.12,1.21,1.3,1.34,1.56,1.89
Iran (I.R.),IRN,0,0,0.02,0.03,,,0.14,0.28,0.41,0.54,1.33,2.81,4.98,6.66,9.46,10.86,11.58
Iraq,IRQ,,,,,,,0,0,0,0,0.01,,,,,,
Ireland,IRL,,,0.27,1.04,3.72,7.76,13.29,17.68,20.48,22.14,22.83,23.67,24.3,25.7,26.91,27.7,28.48
Israel,ISR,,0.72,3.71,9.97,15.15,18.62,21.02,22.06,23.7,23.69,23.75,24.91,25.34,25.9,27.24,27.44,28.13
Italy,ITA,0.2,0.68,1.48,3.89,8.11,11.63,14.38,17.02,18.83,20.07,21.65,22.26,22.61,22.98,23.54,24.37,25.43
Jamaica,JAM,,0.12,0.34,0.34,1.01,1.68,2.53,3.43,3.58,4.11,4.26,4.29,4.44,5.06,5.41,8.14,10.12
Japan,JPN,0.68,3.04,7.44,11.79,15.43,18.35,20.8,22.24,23.66,25.8,26.78,28.04,28.39,29.04,29.76,30.65,31.47
Jersey,,,,,,,,,,,,,,,,,,
Jordan,JOR,,0.01,0.06,0.1,0.2,0.45,0.9,1.57,2.47,3.85,4.54,4.41,4.28,4.51,4.69,4.16,5.84
Kazakhstan,KAZ,,,,0.01,0.01,0.02,0.2,1.76,2.17,3.67,5.46,7.41,10.06,11.91,12.93,13.72,13.68
Kenya,KEN,,,,,,0.02,0.05,0.05,0.01,0.05,0.02,0.13,0.13,0.17,0.22,0.29,0.33
Kiribati,KIR,,,,,,0.36,0.44,0.54,0.72,0.79,0.87,0.86,0.79,0.68,0.48,0.11,0.07
Korea (Rep.),KOR,8.42,16.92,22.43,23.99,25.47,25.92,29.69,30.92,32.33,33.94,35.49,36.65,37.25,38.04,38.78,40.25,41.13
Kuwait,KWT,,0.25,0.51,0.61,0.91,1.09,1.24,1.37,1.48,1.58,1.54,1.5,1.45,1.4,1.38,1.53,2.76
Kyrgyzstan,KGZ,,,0,0,0.04,0.05,0.05,0.06,0.37,0.33,0.43,0.72,1,2.46,3.03,3.71,4.08
Lao P.D.R.,LAO,,,,0,0,0.01,0.01,0.02,0.05,0.07,0.09,0.1,0.11,0.13,0.16,0.52,0.34
Latvia,LVA,0.01,0.14,0.43,0.85,2.18,2.73,4.99,15.62,19.27,21.53,20.8,22.06,23.11,24.19,24.74,24.79,25.64
